epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.3341,2.6545,4.28166,1.83369,0.05573,0.05882,0.01733,0.00329,3.54395,3.84032,1.72596,8e-05,8e-05,8e-05
2,8.34555,2.44595,3.17609,1.61242,0.45434,0.41711,0.3437,0.08231,2.70821,3.50812,1.78364,0.000178218,0.000178218,0.000178218
3,13.0207,1.85721,1.83017,1.30388,0.03039,0.19251,0.01728,0.00562,2.73992,7.59576,1.80843,0.000274456,0.000274456,0.000274456
4,16.9643,1.83059,1.7177,1.44569,0.04248,0.46524,0.03178,0.01056,2.57972,61.9836,1.75821,0.000368714,0.000368714,0.000368714
5,20.7859,1.77213,1.51054,1.4907,0.06995,0.48663,0.05134,0.01897,2.32091,27.9015,1.62328,0.000460992,0.000460992,0.000460992
6,25.0196,1.76223,1.1919,1.30608,0.0485,0.3262,0.02795,0.00807,2.59411,14.8995,1.70472,0.00055129,0.00055129,0.00055129
7,28.8651,1.64245,1.10245,1.23294,0.01183,0.39037,0.00905,0.003,2.66978,82.9227,1.81998,0.000639608,0.000639608,0.000639608
8,33.7364,1.5481,1.16168,1.2006,0.42423,0.27807,0.2432,0.07527,2.72647,3.13034,1.85974,0.000725946,0.000725946,0.000725946
9,37.7324,1.61836,0.93882,1.23954,0.05165,0.48128,0.0369,0.01143,2.73423,42.2543,1.83493,0.000810304,0.000810304,0.000810304
10,42.0911,1.63042,1.00166,1.32907,0.22008,0.18717,0.09351,0.02148,3.01487,2.81265,2.0863,0.000892682,0.000892682,0.000892682
11,45.9217,1.72299,1.12257,1.32127,0.05172,0.12834,0.01465,0.00484,2.88473,4.54629,2.40825,0.00097308,0.00097308,0.00097308
12,49.4361,1.65124,1.01559,1.30598,0.32929,0.3262,0.25416,0.06255,3.00895,2.13205,2.42195,0.0010515,0.0010515,0.0010515
13,53.2054,1.65463,1.03676,1.25864,0.10704,0.06417,0.01699,0.00488,nan,nan,nan,0.00112794,0.00112794,0.00112794
14,56.8222,1.55926,1.13724,1.25551,0.10704,0.06417,0.01699,0.00488,nan,nan,nan,0.00120239,0.00120239,0.00120239
15,60.1782,1.67576,1.08658,1.25623,0.10704,0.06417,0.01699,0.00488,nan,nan,nan,0.00127487,0.00127487,0.00127487
16,64.1753,1.58281,1.00253,1.25866,0.00178,0.07487,0.00081,0.00019,4.36814,38.0532,7.35249,0.00134537,0.00134537,0.00134537
17,67.6991,1.56523,1.00884,1.25461,0.00019,0.00535,7e-05,1e-05,5.25961,inf,94.6516,0.00141389,0.00141389,0.00141389
18,71.1668,1.55397,0.99087,1.30414,0.00019,0.00535,7e-05,1e-05,3.22709,2118.96,17.8443,0.00148043,0.00148043,0.00148043
19,74.838,1.50564,0.93639,1.19947,0.00032,0.02139,0.00016,5e-05,4.81834,inf,37.0305,0.00154498,0.00154498,0.00154498
20,78.2496,1.68414,1.0704,1.36388,0.00032,0.02139,0.00016,5e-05,5.58649,inf,129.409,0.00160756,0.00160756,0.00160756
21,81.8806,1.55796,0.9899,1.2202,0.00025,0.01604,0.00013,3e-05,5.83286,inf,134.355,0.001604,0.001604,0.001604
22,85.2045,1.73134,0.99094,1.32108,0.00111,0.07487,0.00061,0.00023,5.29785,182.843,51.5547,0.0015842,0.0015842,0.0015842
23,88.4498,1.51458,0.90581,1.23959,0.00498,0.05348,0.0012,0.00038,4.94877,50.6459,10.2148,0.0015644,0.0015644,0.0015644
24,91.7455,1.4961,0.88646,1.24416,0.10436,0.09626,0.03101,0.00983,3.85322,4.31778,6.01262,0.0015446,0.0015446,0.0015446
25,95.4106,1.38572,0.87336,1.2247,0.0958,0.08021,0.05606,0.0168,3.12779,4.2588,2.26632,0.0015248,0.0015248,0.0015248
26,98.6997,1.52996,0.8717,1.18443,0.34943,0.2139,0.17207,0.05104,2.81771,3.2357,2.0266,0.001505,0.001505,0.001505
27,102.051,1.43067,0.84881,1.23253,0.19673,0.29412,0.16438,0.04773,2.80684,3.22886,1.91203,0.0014852,0.0014852,0.0014852
28,105.698,1.55115,0.90818,1.23397,0.30279,0.24064,0.18483,0.05023,2.977,3.36413,1.9614,0.0014654,0.0014654,0.0014654
29,109.342,1.44036,0.78097,1.16056,0.18567,0.14439,0.07484,0.02119,3.70137,4.37687,4.31161,0.0014456,0.0014456,0.0014456
30,112.8,1.42125,0.8271,1.19123,0.34306,0.2139,0.18065,0.04286,3.07647,3.38259,2.1783,0.0014258,0.0014258,0.0014258
31,116.41,1.47548,0.82739,1.17695,0.54347,0.25668,0.28061,0.08667,2.795,2.39564,1.96147,0.001406,0.001406,0.001406
32,119.874,1.45065,0.7851,1.1732,0.25531,0.16578,0.09728,0.0285,2.99436,4.20096,2.0673,0.0013862,0.0013862,0.0013862
